,Country,ISO3,region_remastered,region_bigger,Number_of_parks,GIS_AREA,Land_area,Number_of_posts,post_density_national_total,post_density_national_land,post_density_total_max,post_density_total_min,post_density_total_mean,post_density_total_median,post_density_total_var
42,Guatemala,GTM,Latin America and the Caribbean,Latin America and the Caribbean,16,7434.134524084697,7433.761999999999,6743,0.9070322817208113,0.9070777353377739,27.347842156644187,0.8356807748016053,10.36715067123657,6.907172638875678,115.20447550203777
43,Guinea-Bissau,GNB,Sub-Saharan Africa,Africa,4,3600.914493984874,2338.2129999999997,58,0.016107019507651667,0.02480526795463031,7.681957116028051,0.02934956669144487,1.5421228068806807,0.42501410206471435,9.104920042026931
44,Haiti,HTI,Latin America and the Caribbean,Latin America and the Caribbean,6,1265.3593153244547,733.941,409,0.323228347115876,0.5572655022678934,11.240114319130573,0.20761602376203953,3.2815962346869503,1.8808848029676195,12.333888114425584
45,Honduras,HND,Latin America and the Caribbean,Latin America and the Caribbean,12,12113.999672731446,11264.112,1206,0.09955423745921836,0.1070656967899467,8.956971913833417,0.000312295822662687,1.15875031309119,0.13409005381832495,5.791242255494297
46,Hungary,HUN,Europe,Europe,10,4809.916858990057,4809.917,15626,3.248704802619188,3.2487047073785265,26.253172467040933,0.0009367906200152582,1.611376385390634,0.14616825883979762,23.3540081431313
47,Iceland,ISL,Europe,Europe,3,14284.678118418731,14282.52,14102,0.9872116041464606,0.9873607738690371,0.09584078856976096,0.002033275808141296,0.02912079613239008,0.01944198031495226,0.0010375726874559527
48,India,IND,Southern Asia,Asia,51,36474.24829212262,35405.028000000006,15183,0.4162662895311564,0.4288373956377043,0.26280982013771503,0.010708359251414924,0.136759089694565,0.136759089694565,0.031777573290503354
49,Indonesia,IDN,South-eastern Asia,Asia,34,104207.3275531738,100938.26599999999,13871,0.13310964138219603,0.1374206289614684,41.04718188759751,0.14505253394760947,19.29065374536484,16.679726814549397,423.35875099422026
50,Iran (Islamic Republic of),IRN,Southern Asia,Asia,7,11147.364771165197,11147.365000000002,180,0.016147314068846532,0.016147313737372014,5923.307194712143,0.5292150606875914,447.05460239920825,76.67682988965834,1095115.2355488297
51,Iraq,IRQ,Western Asia,Asia,2,1743.22777659714,1743.228,105,0.060233092547988636,0.06023308482883478,558.3890291208063,0.21182361976699227,27.353975202667336,2.914343307828478,12282.827382071418
52,Israel,ISR,Western Asia,Asia,65,148.71007502069025,146.76800000000003,21986,147.84472401712563,149.80104654965658,0.5281694984526195,0.5281694984526195,0.5281694984526195,0.5281694984526195,
53,Italy,ITA,Europe,Europe,25,16072.94237927246,15267.414,73568,4.577133312869504,4.81862874747485,152.66366166100275,152.66366166100275,152.66366166100275,152.66366166100275,
54,Jamaica,JAM,Latin America and the Caribbean,Latin America and the Caribbean,1,497.94621001499,497.946,263,0.5281694984526195,0.5281697212147501,22.122679773651587,2.04000486175058,6.0589537174121375,4.334409473790395,32.547434728348456
55,Japan,JPN,Eastern Asia,Asia,11,10296.837383042603,9581.335,63098,6.127900990639442,6.58551235292368,0.13076167315279325,0.13076167315279325,0.13076167315279325,0.13076167315279325,
56,Jersey,JEY,Europe,Europe,1,38.9352641966557,19.688,5944,152.66366166100275,301.90979276716786,19.797498954050035,0.0005989621824723545,2.8565530064863234,0.5539902568744035,33.64010281534371
57,Kazakhstan,KAZ,Central Asia,Asia,1,627.095065571577,627.095,82,0.13076167315279325,0.13076168682576006,4.977571661034683,0.028851338072696905,2.243035559304777,2.8160877417287056,4.526784467019273
58,Kenya,KEN,Sub-Saharan Africa,Africa,20,27906.541901308796,27872.31,13785,0.4939701969792787,0.49457687575949033,1255.8783936388413,1.4592574481555096,255.7000585930719,4.067250789752368,312638.0155486129
59,"Korea, Republic of",KOR,Eastern Asia,Asia,22,6809.41841541523,4169.479,14894,2.187264622523829,3.5721489423498713,21.441497571422882,0.2357429744081391,4.1506034123161015,1.5651896515733328,32.73023685422392
